Developer / Researcher,Treatment vs. Vaccine,Product Category,Stage of Development,Anticipated Next Steps,Product Description,Clinical Trials for COVID-19,Funder,Published Results,Clinical Trials for Other Diseases (T only) / Related Use or Platform (V only),FDA-Approved Indications,Sources,Date Last Updated
BioNTech/ Pfizer/ Fosun Pharma/ Rentschler Biopharma,Vaccine,RNA-based vaccine,Authorized,"Results from in vitro studies on neutralization of variants of SARS-CoV-2 by BNT162b2 vaccine-elicited sera announced January 2021; Argentina authorized under ""emergency registration"" on 12/22/2020; European Commission granted a ""conditional marketing authorisation"" (CMA) on 12/21/2020, following European Medicines Agency (EMA) recommendation to grant CMA; U.S. FDA issued ""emergency use authorization"" on 12/11/2020; Mexico COFEPRIS granted ""emergency use authorization"" on 12/11/2020; Saudi Food and Drug Authority (SFDA) ""approved the registration"" of the vaccine on 12/10/2020; Health Canada ""authorized"" on 12/9/2020; Bahrain granted ""emergency use authorization"" on 12/4/2020; U.K. MHRA granted ""temporary authorization for emergency use"" on 12/2/2020; Submitted Emergency Use Authorization (EUA) request to the U.S. FDA on 11/20/2020; Phase III complete analysis results announced 11/18/2020, interim analysis results announced 11/09/2020; Phase I data published October 2020; FDA approved late-stage trial enrollment of children 12 years and older in October 2020; EMA rolling submission initiated on 10/6/2020; Study protocol for late-stage clinical trials released Sept 2020; Amended protocol to FDA to expand trial enrollment to 44,000 participants; Phase IIb/III trial began Jul 2020; FDA granted Fast Track designation for BNT162b1 and BNT162b2 in Jul 2020; Selected for US Operation Warp Speed in Jul 2020; Phase I/II began Apr 2020; preliminary data released Jul 2020, additional data published Aug, Sept, and Dec 2020; Pre-clinical data released Sept 2020 and Dec 2020","3 LNP-mRNAs; BNT162 
","ChiCTR2000034825, EudraCT 2020-001038-36, EudraCT 2020-003267-26, NCT04368728, NCT04380701, NCT04523571, NCT04537949, NCT04588480, NCT04649021",Unknown,"Pfizer (https://www.pfizer.com/news/press-release/press-release-detail/pfizer-and-biontech-announce-early-positive-data-ongoing-0), medRxiv (https://www.medrxiv.org/content/10.1101/2020.06.30.20142570v1), medRxiv (https://www.medrxiv.org/content/10.1101/2020.07.17.20140533v1), Nature (https://www.nature.com/articles/s41586-020-2639-4), medRxiv (https://www.medrxiv.org/content/10.1101/2020.08.17.20176651v1), Nature (https://www.nature.com/articles/s41586-020-2814-7), NEJM (https://www.nejm.org/doi/full/10.1056/NEJMoa2027906?query=featured_home), NEJM (https://www.nejm.org/doi/full/10.1056/NEJMoa2034577?query=featured_home), medRxiv (https://www.biorxiv.org/content/10.1101/2020.12.11.421008v1), medRxiv (https://www.medrxiv.org/content/10.1101/2020.12.09.20245175v1), Pfizer (https://www.pfizer.com/news/press-release/press-release-detail/pfizer-and-biontech-provide-data-german-phase-12-study), bioRxiv (https://www.biorxiv.org/content/10.1101/2021.01.07.425740v1), bioRxiv (https://www.biorxiv.org/content/10.1101/2021.01.18.426984v1)",,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,1/25/2021
Moderna/National Institute of Allergy and Infectious Diseases (NIAID)/Biomedical Advanced Research and Development Authority (BARDA)/Lonza/Catalent/Rovi/Medidata/BIOQUAL,Vaccine,RNA-based vaccine,Authorized,"Results from an in vitro study on neutralization of variants of SARS-CoV-2 by mRNA-1273 vaccine-elicited sera announced January 2021; Switzerland ""authorized"" on 01/12/2021; U.K. MHRA granted ""temporary authorization"" on 01/08/2021; European Commission granted a ""conditional marketing authorization"" on 01/06/2021; Israel granted ""authorization to import"" on 01/04/2021; Phase III interim safety and primary efficacy results published on 12/30/2020; Health Canada ""authorized"" on 12/23/2020; U.S. FDA issued ""emergency use authorization"" on 12/18/2020; Phase II/III study in adolescents ages 12 to less than 18 dosed on 12/10/2020; Submitted Emergency Use Authorization (EUA) request to the U.S. FDA on 11/30/2020; Phase III primary efficacy analysis results announced 11/30/2020; European Medicines Agency (EMA) started rolling review on 11/17/2020; Phase III interim analysis results announced 11/16/2020; Swissmedic started rolling review on 11/13/2020; UK Medicines and Healthcare products Regulatory Agency (MHRA) started rolling review on 10/27/2020; EMA confirmed marketing authorization submission eligibility on 10/14/2020; Health Canada rolling submission initiated on 10/13/2020; Study protocol for late-stage clinical trials released September 2020; Phase I interim data from older adult cohorts released Aug 2020 and published Sep 2020; Phase III COVE study began July 2020, completed enrollment on 10/22/2020; Animal study results published July/Aug 2020; Phase I interim results published July 2020; FDA fast track designation granted May 2020; Selected for US Operation Warp Speed in April 2020",RNA; LNP-encapsulated mRNA (mRNA 1273),"NCT04283461, NCT04405076, NCT04470427, NCT04649151",Coalition for Epidemic Preparedness (CEPI)/ Biomedical Advanced Research and Development Authority (BARDA),"Moderna (https://investors.modernatx.com/news-releases/news-release-details/moderna-announces-positive-interim-phase-1-data-its-mrna-vaccine), NEJM (https://www.nejm.org/doi/full/10.1056/NEJMoa2022483), NEJM (https://www.nejm.org/doi/full/10.1056/NEJMoa2028436), Moderna (https://www.businesswire.com/news/home/20201116005608/en/Moderna%E2%80%99s-COVID-19-Vaccine-Candidate-Meets-Primary-Efficacy), NEJM (https://www.nejm.org/doi/full/10.1056/NEJMc2032195), NEJM (https://www.nejm.org/doi/full/10.1056/NEJMoa2035389), bioRxiv (https://www.biorxiv.org/content/10.1101/2021.01.25.427948v1)",Same platform as vaccine candidates for multiple candidates,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,1/25/2021
CureVac/Bayer,Vaccine,RNA-based vaccine,Phase III,"Phase III trial began December 2020; Phase IIb/III (HERALD) trial began recruiting December 2020; Phase IIa trial began end of September 2020; Phase I trial began June 2020, interim results reported November 2020; Pre-clinical data released October 2020",RNA; mRNA (CVnCoV),"NCT04449276, NCT04515147, NCT04652102, NCT04674189, EudraCT 2020-004066-19",Coalition for Epidemic Preparedness (CEPI); European Commission; Gates Foundation; Defense Advanced Research Projects Agency (DARPA); German Government; European Investment Bank (EIB); German Federal Ministry of Education and Research (BMBF),,"Same platform as vaccine candidates for RABV, LASV, YFV, MERS, InfA, ZIKV, DengV, NIPV",N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,1/18/2021
"Arcturus/Duke-NUS/ Catalent
",Vaccine,RNA-based vaccine,Phase I/II,"Received approval to proceed with Phase II study in Singapore end of December 2020; Phase I/II interim data released December 2020; Pre-clinical results released September and December 2020; Phase I/II began August 2020, initial results expected Q4 2020; Received approval to launch clinical trials in Singapore end of July 2020",RNA; mRNA; (LUNAR-COV19),"NCT04480957, NCT04668339",Unknown,,Same platform as vaccine candidates for multiple candidates,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,12/30/2020
Imperial College London/ VacEquity Global Health,Vaccine,RNA-based vaccine,Phase I/II,Pre-clinical results published July 2020; Phase I/II trial began June 2020,RNA; LNP-nCoVsaRNA,ISRCTN17072692,UK Government,,"Same platform as vaccine candidates for EBOV, LASV, MARV, Inf (H7N9), RABV",N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,9/10/2020
People's Liberation Army (PLA) Academy of Military Sciences/ Walvax Biotech,Vaccine,RNA-based vaccine,Phase I,Phase I trial began end of June 2020,mRNA (ARCoV),ChiCTR2000034112,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,8/3/2020
BIOCAD,Vaccine,RNA-based vaccine,Pre-clinical,Animal studies begin in April 2020,RNA; liposome-encapsulated mRNA,,Unknown,,Same platform as vaccine candidates for cancer   ,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,Prior to 4/20/2020
CanSino Biologics/Precision Nanosystems,Vaccine,RNA-based vaccine,Pre-clinical,Unknown,RNA; mRNA lipid nanoparticle (mRNA-LNP),,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,5/21/2020
"Centro Nacional Biotecnologia (CNB-CSIC), Spain",Vaccine,RNA-based vaccine,Pre-clinical,Unknown,RNA; Replicating defective SARS-CoV-2 derived RNAs,,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,Prior to 4/20/2020
Chimeron Bio/ George Mason University's National Center for Biodefense and Infectious  Disease,Vaccine,RNA-based vaccine,Pre-clinical,Unknown,"Self amplifying RNA, self-assembling delivery system",,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,6/17/2020
China CDC / Tongji University / Stermina,Vaccine,RNA-based vaccine,Pre-clinical,Unknown,RNA; mRNA,,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,Prior to 4/20/2020
Chula Vaccine Research Center/University of Pennsylvania,Vaccine,RNA-based vaccine,Pre-clinical,Phase I expected to begin January 2021,LNP-mRNA; (ChulaCov19),NCT04566276,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,11/16/2020
Daiichi-Sankyo/ University of Tokyo's Institute of Medical Science,Vaccine,RNA-based vaccine,Pre-clinical,Clinical studies expected to begin March 2021,RNA; mRNA (DS-5670),,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,8/31/2020
Elixirgen Therapeutics/ Fujita Health University,Vaccine,RNA-based vaccine,Pre-clinical,"Clinical trials are expected to begin at Fujita Health University Hospital in Aichi, Japan in Q1 2021",srRNA (EXG-5003),,Japan Agency for Medical Research and Development (AMED),,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,9/1/2020
eTheRNA Immunotherapies / EpiVax/ Nexelis/ REPROCELL / Centre for the Evaluation of Vaccination of the University of Antwerp,Vaccine,RNA-based vaccine,Pre-clinical,Start Phase I early 2021,RNA; mRNA in an intranasal delivery system (cross-strain protective COV-2 mRNA) vaccine for high-risk populations,,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,5/4/2020
"Federal Budgetary Research Institution (FBRI) State Research Center of Virology and Biotechnology ""VECTOR""",Vaccine,RNA-based vaccine,Pre-clinical,Unknown,RNA; mRNA,,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,8/31/2020
Fudan University / Shanghai JiaoTong University / RNACure Biopharma,Vaccine,RNA-based vaccine,Pre-clinical,Unknown,RNA; LNP-encapsulated mRNA cocktail encoding VLP,,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,Prior to 4/20/2020
Fudan University / Shanghai JiaoTong University / RNACure Biopharma,Vaccine,RNA-based vaccine,Pre-clinical,Unknown,RNA; LNP-encapsulated mRNA cocktail encoding RBD,,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,Prior to 4/20/2020
GeneOne Life Science / Houston Methodist,Vaccine,RNA-based vaccine,Pre-clinical,Unknown,mRNA; (GLS-3000),,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,1/5/2021
Gennova,Vaccine,RNA-based vaccine,Pre-clinical,Unknown,"Self-amplifying
  RNA",,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,7/15/2020
"Globe Biotech Limited, Bangladesh",Vaccine,RNA-based vaccine,Pre-clinical,Phase I/II protocol submitted to Bangladesh Medical Research Council (BMRC) on 1/17/2021 for approval to begin clinical trials,D614G variant LNP-encapsulated mRNA; (Bangavax),,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,1/18/2021
"Greenlight Biosciences
",Vaccine,RNA-based vaccine,Pre-clinical,Unknown,"mRNA
",,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,5/12/2020
"IDIBAPS- Hospital Clinic, Spain",Vaccine,RNA-based vaccine,Pre-clinical,Unknown,mRNA,,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,6/1/2020
"Infectious Disease Research Institute/ Amyris, Inc.",Vaccine,RNA-based vaccine,Pre-clinical,Phase I expected to begin mid-2021,saRNA formulated in a NLC,,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,11/16/2020
Max-Planck Institute of Colloids and Interfaces,Vaccine,RNA-based vaccine,Pre-clinical,Unknown,LNP-encapsulated mRNA encoding S,,KHAN-1 Technology Transfer Fund I GmbH & Co KG,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,11/9/2020
"RNAimmune, Inc.",Vaccine,RNA-based vaccine,Pre-clinical,Unknown,RNA; several mRNA candidates,,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,5/4/2020
Sanofi Pasteur / Translate Bio,Vaccine,RNA-based vaccine,Pre-clinical,Phase I/II to start Q4 2020; Pre-clinical results released October 2020,"LNP-mRNA
",,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,10/15/2020
Selcuk University,Vaccine,RNA-based vaccine,Pre-clinical,Unknown,mRNA,,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,7/9/2020
Ziphius Therapeutics/ Ghent University,Vaccine,RNA-based vaccine,Pre-clinical,Unknown,"RNA; ZIP-1642, vaccine consists of a combination of mRNA molecules, encoding multiple SARS-CoV-2 antigens",,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,4/28/2020
Medicago Inc.,Vaccine,Virus-like particle,Phase II,Phase II dosed December 2020; Phase II/III began recruiting November 2020; Phase I interim results released November 2020; Phase I began July 2020,VLP; plant-derived VLP adjuvanted with GSK or Dynavax adjuvants; (CoVLP),"NCT04450004, NCT04636697, NCT04662697",Unknown,medRxiv (https://www.medrxiv.org/content/10.1101/2020.11.04.20226282v1.full),"Same platform as vaccine candidates for flu, rotavirus, norovirus, West Nile virus, and cancer",N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,12/30/2020
Serum Institute of India/ Accelagen Pty/ SpyBiotech,Vaccine,Virus-like particle,Phase I/II,Phase I/II began September 2020,RBD SARS-CoV-2 HBsAg VLP vaccine,ACTRN12620000817943,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,1/5/2021
"ARTES Biotechnology
",Vaccine,Virus-like particle,Pre-clinical,Unknown,VLP; eVLP,,Unknown,,"Same platform as vaccine candidates for malaria
",N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,5/4/2020
Bezmialem Vakif University,Vaccine,Virus-like particle,Pre-clinical,Unknown,VLP,,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,7/21/2020
Doherty Institute,Vaccine,Virus-like particle,Pre-clinical,Unknown,VLP; unknown,,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,7/8/2020
Icosavax,Vaccine,Virus-like particle,Pre-clinical,Phase I expected to begin mid-2021; Pre-clinical results published October 2020,VLP displaying the SARS-CoV-2 receptor-binding domain (RBD); (IVX-411),,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,11/18/2020
Imophoron Ltd / Bristol University's Max Planck Centre,Vaccine,Virus-like particle,Pre-clinical,Unknown,VLP; ADDomerTM multiepitope display,,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,Prior to 4/20/2020
IrsiCaixa AIDS Research/ IRTA-CReSA/ Barcelona Supercomputing Centre/ Grifols,Vaccine,Virus-like particle,Pre-clinical,Unknown,S protein integrated in HIV VLPs,,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,6/23/2020
Mahidol University/ The Government Pharmaceutical Organization (GPO)/ Siriraj Hospital,Vaccine,Virus-like particle,Pre-clinical,Unknown,VLP + Adjuvant,,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,6/30/2020
Max-Planck Institute for Dynamics of Complex Technical Systems,Vaccine,Virus-like particle,Pre-clinical,Unknown,VLP,,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,11/9/2020
"Medicago
  Inc./ GSK",Vaccine,Virus-like particle,Pre-clinical,Unknown,VLP (CoVLP)+ Adjuvant,,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,7/14/2020
Medicago Inc./ Dynavax,Vaccine,Virus-like particle,Pre-clinical,Phase I to start mid-July 2020,VLP (CoVLP)+ Adjuvant (CpG 1018),,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,7/10/2020
Middle East Technical University,Vaccine,Virus-like particle,Pre-clinical,Unknown,VLP,,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,7/9/2020
"Navarrabiomed, Oncoimmunology group",Vaccine,Virus-like particle,Pre-clinical,Unknown,"Virus-like particles, lentivirus, and baculovirus vehicles",,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,6/1/2020
OSIVAX,Vaccine,Virus-like particle,Pre-clinical,Unknown,VLP (COVID-19 and SARS1),,European Innovation Council (EIC),,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,7/9/2020
Saiba GmbH,Vaccine,Virus-like particle,Pre-clinical,Unknown,"VLP; virus-like particle, based on RBD displayed on virus-like particle",,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,Prior to 4/20/2020
Tampere University,Vaccine,Virus-like particle,Pre-clinical,Unknown,VLPs produced in BEVS,,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,11/9/2020
University of Manitoba,Vaccine,Virus-like particle,Pre-clinical,Unknown,Virus-like particle-based dendritic cell-targeting vaccine,,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,11/9/2020
University of Sao Paulo,Vaccine,Virus-like particle,Pre-clinical,Unknown,VLPs peptides/whole virus,,Unknown,,,,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,5/19/2020
VBI Vaccines / National Research Council of Canada/ Therapure Biomanufacturing,Vaccine,Virus-like particle,Pre-clinical,Phase I/II trial expected to begin by end of 2020,"Enveloped virus-like particle (eVLP): Pan-coronavirus vaccine candidate, targeting COVID-19, SARS, and MERS, spike protein (VBI-2900)",,Unknown,,"Same platform as vaccine candidates for glioblastoma, cytomegalovirus, and Zika",N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,11/3/2020
AbVision,Vaccine,Unknown,Pre-clinical,Unknown,AVI-205,,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,5/13/2020
Adeleke University,Vaccine,Unknown,Pre-clinical,Unknown,Unknown,,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,6/30/2020
"Catholic University/ Millennium Institute of Immunology and Immunotherapy/ Technological Consortium in Clinical Molecular Biomedicine, Chile",Vaccine,Unknown,Pre-clinical,Unknown,Unknown,,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,4/23/2020
Codiak BioSciences/ Ragon Institute,Vaccine,Unknown,Pre-clinical,Unknown,exoVACC exome platform,,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,6/4/2020
Emergex Vaccines/ George Mason University's National Center for Biodefense and Infectious Diseases (NCBID),Vaccine,Unknown,Pre-clinical,Unknown,Unknown,,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,4/24/2020
HaloVax (Voltron Therapeutics) / The Vaccine & Immunotherapy Center at the Massachusetts General Hospital,Vaccine,Unknown,Pre-clinical,Animal study results by October 2020,"Self-assembling vaccine (fusion protein of a heat shock protein and Avidin, with biotinylated immunogenic peptides)",,Analog Devices Foundation,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,4/21/2020
ISR Immune System Regulation,Vaccine,Unknown,Pre-clinical,"Animal study results expected in Q2 2020, Phase I begins Q4 2020",ISR-50,,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,Prior to 4/20/2020
NidoVax,Vaccine,Unknown,Pre-clinical,Unknown,unknown; IMT504 technology,,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,6/18/2020
"Oragenics (Noachis Terra)/ Aragen Bioscience
",Vaccine,Unknown,Pre-clinical,Phase I expected to start in early 2021,"TerraCoV2
",,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,9/28/2020
"OSE
  Immunotherapeutics",Vaccine,Unknown,Pre-clinical,"Clinical
  trials expected to begin end of 2020/early 2021; Pre-clinical results
  released in August 2020",T cell-based vaccine platform (CoVepiT),,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,11/9/2020
Precision Vaccines Program at Boston Children's Hospital,Vaccine,Unknown,Pre-clinical,Unknown,Unknown,,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,Prior to 4/20/2020
Shenzhen Geno-Immune Medical Institute,Vaccine,Unknown,Pre-clinical,Unknown,Artificial antigen-presenting cells modified with lentiviral vector expressing synthetic minigene based on domains of selected viral proteins,NCT04299724,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,5/12/2020
Shenzhen Geno-Immune Medical Institute,Vaccine,Unknown,Pre-clinical,Unknown,LV-SMENP-DC Dendritic cells modified with lentiviral vector expressing synthetic minigene based on domains of selected viral proteins; administered with antigen-specific cytotoxic T lymphocytes,NCT04276896,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,5/12/2020
SK Biosciences,Vaccine,Unknown,Pre-clinical,Unknown,Unknown,,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,Prior to 4/20/2020
Tulane University,Vaccine,Unknown,Pre-clinical,Unknown,Unknown,,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,Prior to 4/20/2020
"United
  Biomedical (UBI)/ c19",Vaccine,Unknown,Pre-clinical,,Unknown,,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,9/2/2020
Vault Pharma/ University of California Los Angeles,Vaccine,Unknown,Pre-clinical,Unknown,nanoparticles (vaults) as second-line defense of infection,,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,6/17/2020
Vir Biotechnology / GSK,Vaccine,Unknown,Pre-clinical,Unknown,Unknown,,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,Prior to 4/20/2020
Vivaldi Biosciences/ Esco Aster Pte Ltd,Vaccine,Unknown,Pre-clinical,Unknown,Chimeric vaccine (coronavirus and influenza),,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,6/2/2020
Farmacológicos Veterinarios SAC (FARVET SAC),Vaccine,Replicating bacterial vector,Pre-clinical,Unknown,Oral Salmonella enteritidis (3934Vac) based protein expression system of RBD,,Unknown,,Same platform as multiple vaccine candidates,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,1/19/2021
"University of California, Los Angeles (Horwitz Lab)",Vaccine,Replicating bacterial vector,Pre-clinical,Unknown,Recombinant LVS ΔcapB – vectored vaccine expressing multiple SARS-CoV-2 antigens,,Unknown,,Same platform as vaccines against select agents and emerging pathogens,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,5/10/2020